Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Final_Project\H18R2x-Hardware\Design\Project Outputs for H18R2PrjPcb\Pick Place for H18R2.csv

========================================================================================================================
File Design Information:

Date:       26/11/25
Time:       17:57
Revision:   5b334baecc48dbc99a92b0a34da5ac6deeaf00a1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"VDD2","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","16.5199","0.0000","0",""
"SU5","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-12.3901","7.1401","120",""
"SU4","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-12.3901","-7.1501","180",""
"SU2","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","12.3901","-7.1601","300",""
"SU1","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","12.3901","7.1501","0",""
"SD5","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-12.3901","7.1401","120",""
"SD4","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-12.3901","-7.1501","180",""
"SD2","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","12.3901","-7.1601","300",""
"SD1","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","12.3901","7.1501","0",""
"GND6","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-8.2601","14.3101","60",""
"GND5","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-16.5199","0.0000","120",""
"GND4","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-8.2601","-14.3101","180",""
"GND3","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","8.2601","-14.3101","240",""
"GND2","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","16.5199","0.0000","300",""
"GND1","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","8.2601","14.3101","0",""
"VDD1","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","8.2601","14.3101","60",""
